fold_id,best_params,roc_auc,average_precision,f1,accuracy,balanced_accuracy
1,"{""clf__C"": 2.0, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.6666666666666667,0.6666666666666666,0.0,0.5,0.5
2,"{""clf__C"": 0.5, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.3333333333333333,0.5888888888888889,0.4,0.4,0.41666666666666663
3,"{""clf__C"": 0.5, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.5,0.5,0.5714285714285714,0.4,0.5
4,"{""clf__C"": 0.5, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.6666666666666667,0.75,0.4,0.4,0.41666666666666663
5,"{""clf__C"": 0.5, ""clf__gamma"": ""scale"", ""clf__kernel"": ""rbf""}",0.6666666666666667,0.5833333333333333,0.0,0.4,0.3333333333333333
